symbol,exchange,affidabilita
1COV.ETR,ETR,confermato
A.NYSE,NYSE,confermato
AA.NYSE,NYSE,confermato
AAL.LSE,LSE,confermato
AAL.NAS,NAS,confermato
AALB.AMS,AMS,confermato
AAP.NYSE,NYSE,confermato
AAPL.NAS,NAS,confermato
AAT.NYSE,NYSE,confermato
AAXJ.NAS,NAS,confermato
ABBV.NYSE,NYSE,confermato
ABCB.NYSE,NYSE,confermato
ABEO.NAS,NAS,confermato
ABEV.NYSE,NYSE,confermato
ABF.LSE,LSE,confermato
ABM.NYSE,NYSE,confermato
ABN.AMS,AMS,confermato
ABNB.NAS,NAS,confermato
ABR.NYSE,NYSE,confermato
ABT.NYSE,NYSE,confermato
ABUS.NAS,NAS,confermato
AC.PAR,PAR,confermato
ACA.PAR,PAR,confermato
ACAD.NAS,NAS,confermato
ACB.NYSE,NYSE,confermato
ACH.NYSE,NYSE,confermato
ACI.NYSE,NYSE,confermato
ACLS.NAS,NAS,confermato
ACM.NYSE,NYSE,confermato
ACMR.NAS,NAS,confermato
ACN.NYSE,NYSE,confermato
ACP.NYSE,NYSE,confermato
ACS.MAD,MAD,confermato
ACWI.NAS,NAS,confermato
ACX.MAD,MAD,confermato
AD.AMS,AMS,confermato
ADAG.NAS,NAS,confermato
ADAM.NAS,NAS,confermato
ADBE.NAS,NAS,confermato
ADC.NYSE,NYSE,confermato
ADI.NAS,NAS,confermato
ADM.LSE,LSE,confermato
ADM.NYSE,NYSE,confermato
ADNT.NYSE,NYSE,confermato
ADP.NAS,NAS,confermato
ADPT.NAS,NAS,confermato
ADS.ETR,ETR,confermato
ADSK.NAS,NAS,confermato
ADT.NYSE,NYSE,confermato
ADUS.NAS,NAS,confermato
ADV.ETR,ETR,confermato
ADV.NAS,NAS,confermato
ADX.NYSE,NYSE,confermato
AEE.NYSE,NYSE,confermato
AEG.NYSE,NYSE,confermato
AEHR.NAS,NAS,confermato
AEM.NYSE,NYSE,confermato
AENA.MAD,MAD,confermato
AEO.NYSE,NYSE,confermato
AEP.NAS,NAS,confermato
AER.NYSE,NYSE,confermato
AES.NYSE,NYSE,confermato
AF.PAR,PAR,confermato
AFG.NYSE,NYSE,confermato
AFL.NYSE,NYSE,confermato
AFRM.NAS,NAS,confermato
AFX.ETR,ETR,confermato
AFYA.NAS,NAS,confermato
AG.NYSE,NYSE,confermato
AGCO.NYSE,NYSE,confermato
AGEN.NAS,NAS,confermato
AGI.NYSE,NYSE,confermato
AGN.AMS,AMS,confermato
AGNC.NAS,NAS,confermato
AGNT.NAS,NAS,confermato
AGRO.NYSE,NYSE,confermato
AHCO.NAS,NAS,confermato
AHG.NAS,NAS,confermato
AIG.NYSE,NYSE,confermato
AIN.NYSE,NYSE,confermato
AIR.PAR,PAR,confermato
AIRG.NAS,NAS,confermato
AIRS.NAS,NAS,confermato
AIV.NYSE,NYSE,confermato
AIXA.ETR,ETR,confermato
AIZ.NYSE,NYSE,confermato
AJG.NYSE,NYSE,confermato
AKAM.NAS,NAS,confermato
AKE.PAR,PAR,confermato
AKR.NYSE,NYSE,confermato
AKTX.NAS,NAS,confermato
AKZA.AMS,AMS,confermato
ALB.NYSE,NYSE,confermato
ALC.NYSE,NYSE,confermato
ALDX.NAS,NAS,confermato
ALEC.NAS,NAS,confermato
ALEX.NYSE,NYSE,confermato
ALG.NYSE,NYSE,confermato
ALGN.NAS,NAS,confermato
ALK.NYSE,NYSE,confermato
ALL.NYSE,NYSE,confermato
ALLE.NYSE,NYSE,confermato
ALLY.NYSE,NYSE,confermato
ALNY.NAS,NAS,confermato
ALO.PAR,PAR,confermato
ALRM.NAS,NAS,confermato
ALRS.NAS,NAS,confermato
ALT.NAS,NAS,confermato
ALTG.NYSE,NYSE,confermato
ALV.ETR,ETR,confermato
ALX.NYSE,NYSE,confermato
AM.NYSE,NYSE,confermato
AMAT.NAS,NAS,confermato
AMBA.NAS,NAS,confermato
AMCR.NYSE,NYSE,confermato
AMD.NAS,NAS,confermato
AME.NYSE,NYSE,confermato
AMG.NYSE,NYSE,confermato
AMGN.NAS,NAS,confermato
AMH.NYSE,NYSE,confermato
AML.LSE,LSE,confermato
AMP.NYSE,NYSE,confermato
AMR.NYSE,NYSE,confermato
AMRC.NYSE,NYSE,confermato
AMRX.NYSE,NYSE,confermato
AMS.MAD,MAD,confermato
AMT.NYSE,NYSE,confermato
AMTX.NAS,NAS,confermato
AMWL.NYSE,NYSE,confermato
AMX.NYSE,NYSE,confermato
AMZN.NAS,NAS,confermato
AN.NYSE,NYSE,confermato
ANA.MAD,MAD,confermato
ANDE.NAS,NAS,confermato
ANET.NYSE,NYSE,confermato
ANF.NYSE,NYSE,confermato
ANGI.NAS,NAS,confermato
ANTE.NAS,NAS,confermato
ANTO.LSE,LSE,confermato
AOD.NYSE,NYSE,confermato
AON.NYSE,NYSE,confermato
AOS.NYSE,NYSE,confermato
APA.NAS,NAS,confermato
APD.NYSE,NYSE,confermato
APH.NYSE,NYSE,confermato
APO.NYSE,NYSE,confermato
APPF.NAS,NAS,confermato
APPN.NAS,NAS,confermato
APTV.NYSE,NYSE,confermato
AR.NYSE,NYSE,confermato
ARAY.NAS,NAS,confermato
ARCC.NAS,NAS,confermato
ARCO.NYSE,NYSE,confermato
ARCT.NAS,NAS,confermato
ARE.NYSE,NYSE,confermato
ARMK.NYSE,NYSE,confermato
AROC.NYSE,NYSE,confermato
ARQ.NAS,NAS,confermato
ARR.NYSE,NYSE,confermato
ARW.NYSE,NYSE,confermato
ARWR.NAS,NAS,confermato
ASAN.NYSE,NYSE,confermato
